year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
1994,71372,14,18,1.4,1.3,1.6
1995,71367,14,19,2.4,2.2,2.5
1996,71146,14,21,1.2,1.1,1.3
1997,70756,14,23,4.2,4,4.4
1998,70295,14,25,2.4,2.2,2.5
1999,69902,14,27,8.7,8.4,9
2000,69679,14,28,3.4,3.1,3.7
2001,69660,14,29,1.4,1.3,1.4
2002,69806,14,26,1.2,1.2,1.3
2003,70058,14,22,2.6,2.5,2.7
2004,70325,14,19,1.2,1.2,1.3
2005,70542,13,17,1.3,1.3,1.3
2006,70690,13,16,1.2,1.1,1.2
2007,70795,13,16,3.3,3.3,3.4
2008,70883,13,16,3.6,3.5,3.6
2009,70996,13,15,3.4,3.4,3.4
2010,71167,13,19,3.2,3.2,3.3
2011,71401,13,23,2.1,2.1,2.1
2012,71684,13,25,2,2,2
1990,7245127,148,339,14,7.6,22
1991,7392389,142,310,13,6.5,22
1992,7540421,137,282,13,6.2,22
1993,7688196,131,257,12,5.5,20
1994,7834359,126,235,11,5,18
1995,7977966,121,215,13,6.4,21
1996,8118570,117,199,11,5.9,18
1997,8256496,112,185,10,5.7,16
1998,8392534,108,173,11,6.4,17
1999,8527881,104,165,8.7,5.4,13
2000,8663421,100,159,8.7,4.6,14
2001,8799298,96,153,8,4.5,12
2002,8935261,92,147,8.6,5,13
2003,9071318,89,142,9.2,5.4,14
2004,9207389,85,136,9,5.3,14
2005,9343362,82,131,6.3,4,9.1
2006,9479269,79,127,6.9,4.4,9.9
2007,9615015,76,122,6.5,4.3,9.1
2008,9750195,73,118,6.1,4.1,8.4
2009,9884265,70,113,5.7,4,7.6
2010,10016797,67,107,5.3,3.9,6.8
2011,10147598,65,103,4.9,3.8,6.1
2012,10276621,62,98,4.4,3.7,5.3
1990,10123593,174,340,19,14,26
1991,10360630,166,315,20,14,27
1992,10598168,158,295,18,13,24
1993,10836327,150,274,18,13,24
1994,11075454,143,258,15,10,20
1995,11315800,136,242,17,12,24
1996,11557151,130,228,13,9.1,18
1997,11799289,124,216,14,10,19
1998,12042454,118,204,17,13,23
1999,12286995,112,195,15,11,19
2000,12533087,107,187,14,10,19
2001,12780869,101,179,12,8.8,16
2002,13030041,97,171,11,8,14
2003,13279806,92,163,9.5,7,12
2004,13529091,88,155,8.9,6.6,12
2005,13777131,83,148,7.7,6.6,9
2006,14023503,79,141,7.2,6.2,8.3
2007,14268397,76,134,6.4,5.5,7.4
2008,14512402,72,128,5.9,5.1,6.7
2009,14756424,68,120,5,4.3,5.7
2010,15001072,65,113,4.6,4,5.2
2011,15246481,62,106,3.5,3,4
2012,15492264,59,98,2.7,2.3,3.1
1990,56336614,34,85,3.2,2.5,3.9
1991,57387589,34,80,3,2.3,3.7
1992,58370712,34,75,3.2,2.5,4
1993,59307778,33,70,3,2.3,3.7
1994,60231864,32,65,2.7,2.1,3.4
1995,61168397,32,60,2.5,1.9,3.2
1996,62123592,30,55,2.3,1.8,2.9
1997,63094069,29,50,2.1,1.6,2.7
1998,64084443,28,45,2,1.5,2.5
1999,65097777,27,43,1.8,1.4,2.3
2000,66136590,26,42,1.7,1.3,2.2
2001,67204189,25,41,1.6,1.3,2
2002,68302914,24,39,1.5,1.2,1.8
2003,69432477,23,37,1.6,1.3,1.8
2004,70591288,22,36,1.3,1.1,1.5
2005,71777678,21,34,1.1,0.97,1.2
2006,72990754,20,33,0.92,0.84,0.99
2007,74229577,20,32,0.9,0.82,0.98
2008,75491922,19,31,0.87,0.8,0.95
2009,76775023,19,31,0.71,0.66,0.76
2010,78075705,18,30,0.58,0.54,0.62
2011,79392466,17,29,0.71,0.66,0.76
2012,80721874,17,29,0.46,0.43,0.5
1990,5344226,63,95,4.8,2.8,7.4
1991,5425293,61,88,6.1,3.9,8.9
1992,5511138,57,80,6.2,3.3,10
1993,5597322,53,71,5.6,3,9
1994,5677743,48,62,4.6,2.9,6.8
1995,5748013,45,55,3.8,2.6,5.2
1996,5806750,42,52,4.1,2.9,5.4
1997,5855226,41,56,4.2,2.8,5.8
1998,5895018,42,64,3.6,2.5,5
1999,5928809,40,63,3.5,2.5,4.6
2000,5958794,37,56,2.8,2.1,3.6
2001,5985299,36,55,2.4,1.7,3.1
2002,6008308,38,58,2.5,1.8,3.3
2003,6029366,33,46,1.7,1.2,2.2
2004,6050297,32,44,2.2,1.6,2.8
2005,6072538,39,60,1.8,1.4,2.3
2006,6096692,34,48,1.2,0.91,1.5
2007,6122952,33,44,2,1.5,2.5
2008,6151776,32,41,1.6,1.2,2.1
2009,6183484,30,35,1.4,1,1.8
2010,6218195,28,33,1.2,0.9,1.6
2011,6256242,27,34,1.1,0.81,1.5
2012,6297394,25,34,1,0.73,1.4
1990,373851,80,101,0,0,17
1991,386418,99,147,0,0,18
1992,399625,75,90,0,0,18
1993,413387,86,115,0,0,19
1994,427503,96,137,0,0,19
1995,441829,80,96,0,0,20
1996,456389,80,96,0,0,19
1997,471288,89,114,0,0,18
1998,486542,98,132,0,0,17
1999,502169,99,131,0,0,17
2000,518179,101,130,0,0,17
2001,534592,102,129,0,0,14
2002,551399,103,129,0,0,13
2003,568552,104,129,0,0,13
2004,585983,105,128,0,0,9.9
2005,603648,110,135,0,0,9.7
2006,621517,115,142,0,0,10
2007,639618,120,148,0,0,8.6
2008,658025,125,156,0,0,6.2
2009,676851,120,139,0,0,7.8
2010,696167,135,166,0,0,8.3
2011,715996,142,174,0,0,7.4
2012,736296,139,164,0,0,7.4
1990,3272563,243,484,12,7.9,17
1991,3311719,233,345,11,7.6,16
1992,3331918,223,288,11,7.2,15
1993,3344626,213,331,10,6.9,15
1994,3365933,204,354,10,6.6,14
1995,3407812,198,362,9.7,6.4,14
1996,3473399,191,342,9.3,6.2,13
1997,3560353,182,296,8.9,5.9,12
1998,3668350,174,249,8.5,5.6,12
1999,3795384,165,201,8,5.3,11
2000,3939348,157,194,7.7,5.1,11
2001,4101609,148,210,7.2,4.8,10
2002,4281576,140,207,6.8,4.5,9.6
2003,4472533,133,198,6.5,4.3,9.1
2004,4665522,126,190,6.2,4.1,8.6
2005,4854066,121,187,5.9,3.9,8.3
2006,5035036,116,183,5.6,3.8,7.9
2007,5209846,111,181,5.4,3.6,7.6
2008,5382163,108,179,5.2,3.4,7.4
2009,5557889,103,173,5,3.4,7.1
2010,5741159,100,167,4.9,3.2,6.9
2011,5932852,97,160,4.7,3.1,6.6
2012,6130922,93,152,4.6,3,6.5
1990,1565320,31,52,4.5,4.5,4.6
1991,1549232,30,40,4.5,4.5,4.6
1992,1523160,30,39,5.2,5.1,5.3
1993,1491338,41,53,7.3,7.1,7.5
1994,1459829,49,68,10,9.9,10
1995,1433076,50,65,10,9.9,10
1996,1412522,56,74,9.7,9.5,10
1997,1397071,61,84,10,9.9,10
1998,1385531,68,98,11,10,11
1999,1375744,63,85,11,10,11
2000,1366117,67,97,8,7.9,8.2
2001,1356549,60,82,7.3,7.2,7.5
2002,1347674,53,68,6.8,6.7,6.9
2003,1339453,50,66,7,6.9,7.1
2004,1331928,46,61,7.6,7.4,7.7
2005,1325112,42,53,3.7,3.6,3.8
2006,1318893,37,45,4.9,4.9,5
2007,1313138,40,55,4.7,4.6,4.8
2008,1307827,35,47,3.6,3.6,3.6
2009,1302965,32,42,3.3,3.3,3.3
2010,1298533,25,29,2.7,2.7,2.8
2011,1294498,26,34,2.8,2.8,2.8
2012,1290778,23,29,2.8,2.8,2.8
1990,48042755,367,426,49,29,73
1991,49743883,377,446,49,29,73
1992,51525658,388,462,48,29,73
1993,53357867,398,470,48,29,73
1994,55199953,410,479,48,29,73
1995,57023519,419,480,48,28,72
1996,58815116,426,477,47,28,71
1997,60584273,431,472,46,27,70
1998,62353942,431,464,45,27,68
1999,64158887,428,446,43,26,66
2000,66024199,421,429,41,25,63
2001,67956866,408,408,39,23,59
2002,69948344,395,390,37,22,55
2003,71989666,379,370,34,20,52
2004,74066147,359,350,31,19,47
2005,76167240,342,331,29,17,44
2006,78290649,324,314,27,16,40
2007,80440708,308,296,25,15,36
2008,82621190,293,280,23,15,32
2009,84838032,280,264,21,14,29
2010,87095281,269,250,20,14,26
2011,89393063,258,237,18,14,24
2012,91728849,247,224,18,13,23
1990,728339,112,244,7,2.7,13
1991,735209,104,227,6.6,2.6,12
1992,744340,97,209,6.2,2.5,11
1993,754923,90,193,5.8,2.4,11
1994,765664,83,179,5.4,2.3,9.7
1995,775587,77,165,5.1,2.3,8.9
1996,784647,72,153,4.8,2.3,8
1997,793098,67,141,4.5,2.3,7.2
1998,800616,62,131,4.2,2.4,6.4
1999,806857,58,121,3.9,2.4,5.7
2000,811647,54,112,3.7,2.6,4.9
2001,814700,51,104,3.4,2.7,4.3
2002,816237,48,98,3.2,2.7,3.8
2003,817224,45,92,3,2.6,3.4
2004,818995,42,86,2.8,2.5,3.1
2005,822484,40,80,2.7,2.4,2.9
2006,828060,37,75,2.5,2.3,2.6
2007,835392,35,68,2.3,2.2,2.4
2008,843851,32,61,2.2,2.1,2.3
2009,852479,30,53,2,2,2.1
2010,860559,28,45,1.9,1.9,2
2011,867921,26,37,1.8,1.7,1.8
2012,874742,24,30,1.7,1.6,1.7
1990,4986705,18,25,2.5,2.5,2.5
1991,5009381,18,26,1.6,1.6,1.6
1992,5034898,16,22,1.8,1.8,1.8
1993,5061465,12,16,2.4,2.4,2.4
1994,5086499,13,15,1.5,1.5,1.5
1995,5108176,15,22,1.8,1.8,1.8
1996,5126021,14,21,2.1,2.1,2.1
1997,5140755,13,17,1.5,1.5,1.5
1998,5153229,14,21,1.1,1.1,1.1
1999,5164780,13,18,1.3,1.3,1.3
2000,5176482,12,16,1.6,1.6,1.6
2001,5188330,10,14,1,1,1
2002,5200259,9.9,14,1.1,1.1,1.1
2003,5213213,8.7,12,0.9,0.9,0.9
2004,5228340,7,9,0.55,0.55,0.55
2005,5246368,7.4,10,0.71,0.71,0.71
2006,5267817,6.1,7.5,0.39,0.39,0.39
2007,5292261,6.5,8.2,0.49,0.49,0.5
2008,5318297,7.2,10,0.49,0.49,0.5
2009,5343927,11,21,0.46,0.45,0.46
2010,5367693,6.7,9,0.3,0.3,0.3
2011,5389084,6.7,8.9,0.39,0.39,0.39
2012,5408466,5.5,7.2,0.29,0.28,0.29
1990,56845705,20,28,1.8,1.7,1.8
1991,57098001,19,25,2.3,2.2,2.3
1992,57339096,19,26,1.5,1.4,1.5
1993,57569991,21,31,1.6,1.6,1.7
1994,57792298,20,29,1.5,1.4,1.5
1995,58008958,19,28,1.4,1.3,1.4
1996,58216225,16,24,1.3,1.2,1.3
1997,58418324,15,20,1.2,1.2,1.3
1998,58635564,13,17,1.4,1.3,1.4
1999,58894671,13,18,1.3,1.2,1.3
2000,59213096,13,19,1.1,1.1,1.1
2001,59600714,12,17,1,0.97,1
2002,60047743,12,17,0.81,0.78,0.84
2003,60527640,12,19,0.86,0.83,0.89
2004,61002537,11,14,0.75,0.72,0.77
2005,61444972,10,14,0.7,0.68,0.72
2006,61845239,10,14,0.66,0.64,0.68
2007,62210877,11,17,0.58,0.56,0.6
2008,62552614,11,17,0.57,0.55,0.59
2009,62888318,5.7,8.2,0.59,0.57,0.61
2010,63230866,9.5,14,0.53,0.51,0.55
2011,63582112,9.2,14,0.5,0.47,0.52
2012,63936575,8.2,12,0.46,0.44,0.49
1990,198370,34,48,1.9,0.02,7.8
1991,202020,28,35,1.2,0.4,2.5
1992,205269,46,67,2.7,0.02,12
1993,208349,43,54,2.1,0.19,6.1
1994,211584,48,65,2.5,0.08,9.2
1995,215200,47,59,2.3,0.19,6.8
1996,219282,45,55,2.1,0.3,5.5
1997,223734,47,60,2.3,0.13,7.6
1998,228380,53,78,3.2,0.01,15
1999,232956,46,65,2.6,0.03,11
2000,237267,30,35,1.2,0.36,2.7
2001,241276,30,34,1.2,0.31,2.7
2002,245032,31,40,1.5,0.09,5
2003,248536,24,28,0.98,0.29,2.1
2004,251811,28,37,1.5,0.05,5.2
2005,254884,28,39,1.6,0.03,6.1
2006,257731,31,46,1.9,0,8.9
2007,260361,28,41,1.6,0.01,7.1
2008,262877,22,25,0.93,0.21,2.2
2009,265412,23,29,1.1,0.1,3.3
2010,268065,18,22,0.78,0.25,1.6
2011,270874,27,41,1.7,0,8
2012,273814,21,26,0.98,0.12,2.7
1990,946703,221,419,41,17,74
1991,972539,228,436,43,18,79
1992,998823,255,495,49,20,91
1993,1025559,271,525,52,21,97
1994,1052772,293,560,55,22,102
1995,1080477,315,592,57,23,107
1996,1108698,343,635,60,24,112
1997,1137412,368,661,62,25,115
1998,1166525,401,704,64,26,120
1999,1195919,476,828,75,30,141
2000,1225527,527,898,81,32,152
2001,1255299,557,928,83,33,156
2002,1285318,586,959,85,34,160
2003,1315820,594,950,84,33,158
2004,1347125,597,933,82,33,154
2005,1379465,586,908,78,32,145
2006,1412907,578,887,75,31,139
2007,1447388,542,801,67,24,131
2008,1482843,523,752,62,26,114
2009,1519155,511,728,59,25,107
2010,1556222,475,663,51,22,93
2011,1594034,450,612,46,20,83
2012,1632572,428,563,44,18,81
1990,916811,185,350,36,9.4,80
1991,949479,189,356,37,11,78
1992,979666,193,361,37,12,76
1993,1008242,196,365,38,13,74
1994,1036580,200,369,38,14,72
1995,1065746,204,372,38,15,70
1996,1095930,208,374,38,15,69
1997,1126986,212,373,37,15,69
1998,1159271,217,374,37,15,68
1999,1193143,221,374,36,15,67
2000,1228863,225,373,36,15,66
2001,1266691,230,375,36,15,66
2002,1306667,234,380,36,15,67
2003,1348548,239,387,37,15,69
2004,1391934,244,395,38,15,71
2005,1436549,248,404,39,16,74
2006,1482324,253,415,41,16,77
2007,1529406,258,424,42,17,80
2008,1577984,263,433,43,17,82
2009,1628332,269,444,45,17,85
2010,1680640,273,455,46,18,87
2011,1734966,279,472,49,19,92
2012,1791225,284,490,51,20,96
1990,5460309,280,704,8.9,7.8,10
1991,5418449,273,667,8.2,7.2,9.2
1992,5345625,268,636,7.4,6.6,8.3
1993,5252851,266,609,7.4,6.4,8.4
1994,5156080,264,589,7.4,6.3,8.6
1995,5067143,263,571,8.2,7.2,9.3
1996,4990097,263,557,7.5,6.5,8.5
1997,4922489,264,546,8.7,7.6,9.9
1998,4861848,263,533,7.5,6.6,8.6
1999,4803312,261,526,7.6,6.7,8.6
2000,4743591,256,516,7.7,6.7,8.8
2001,4682290,244,487,6.9,6,7.8
2002,4621837,227,448,6.9,6,7.9
2003,4564938,210,410,6.9,5.9,8
2004,4515280,193,366,7,5.9,8.2
2005,4475306,175,315,3.8,3.3,4.5
2006,4446032,160,274,4.1,3.4,4.8
2007,4426077,149,242,3.8,3.3,4.4
2008,4412502,139,217,4.2,3.5,4.9
2009,4401093,132,198,4.6,3.7,5.5
2010,4388674,128,186,15,8.4,24
2011,4374226,125,182,4.5,3.7,5.5
2012,4358242,116,158,4.5,3.7,5.5
1990,80487159,21,29,1.3,1.3,1.3
1991,81026476,19,25,1.1,1.1,1.1
1992,81625161,20,28,1.1,1.1,1.1
1993,82225174,20,29,0.95,0.94,0.96
1994,82750431,18,25,0.93,0.92,0.94
1995,83147770,17,23,1.4,1.4,1.5
1996,83388930,16,22,1.4,1.4,1.4
1997,83490697,15,21,0.74,0.72,0.75
1998,83500716,14,20,0.67,0.66,0.68
1999,83490881,14,20,0.6,0.59,0.61
2000,83512459,12,18,0.59,0.58,0.6
2001,83583461,9.6,12,0.49,0.48,0.49
2002,83685160,9.5,13,0.46,0.45,0.46
2003,83788480,9.6,14,0.47,0.47,0.48
2004,83848844,8.5,12,0.43,0.42,0.43
2005,83835978,7.8,11,0.39,0.38,0.39
2006,83740302,7.1,9.8,0.4,0.4,0.41
2007,83578794,6.4,8.7,0.41,0.41,0.42
2008,83379538,5.7,7.3,0.36,0.35,0.36
2009,83182774,5.9,8.3,0.34,0.34,0.35
2010,83017404,5.6,7.7,0.36,0.35,0.36
2011,82892904,5.7,7.9,0.35,0.34,0.35
2012,82800121,5.6,7.8,0.35,0.34,0.35
1990,14628693,155,320,36,6,93
1991,15043053,159,318,35,6,90
1992,15471695,163,315,35,6.1,87
1993,15907265,165,311,34,6.1,85
1994,16339278,166,307,33,6.2,82
1995,16760926,167,301,32,6.3,79
1996,17169151,167,296,32,6.3,77
1997,17568461,166,290,31,6.6,74
1998,17968830,162,281,30,6.5,71
1999,18384302,158,270,29,6.4,67
2000,18825034,152,257,27,6.3,62
2001,19293392,145,241,25,6.1,57
2002,19786307,138,225,23,5.9,53
2003,20301686,132,213,22,5.9,48
2004,20835514,125,200,20,5.9,43
2005,21384034,119,188,19,5.9,39
2006,21947779,112,174,17,5.8,34
2007,22525659,106,161,15,5.8,30
2008,23110139,99,147,14,5.7,25
2009,23691533,92,134,12,5.6,21
2010,24262901,86,121,10,5,18
2011,24820706,79,106,8.6,4.2,15
2012,25366462,72,92,6.9,3.5,11
1990,10160501,9.9,15,1.6,1.5,1.7
1991,10246749,8.6,11,2,1.9,2.1
1992,10349998,10,14,2.2,2.1,2.4
1993,10462357,10,14,1.8,1.6,1.9
1994,10572479,10,14,1.2,1.1,1.3
1995,10671809,10,14,1.5,1.4,1.6
1996,10758368,10,14,1.1,1,1.2
1997,10833632,8.1,10,0.88,0.81,0.95
1998,10896763,12,20,0.8,0.76,0.85
1999,10947724,9.8,15,1.5,1.5,1.6
2000,10986883,7.4,9.5,0.81,0.77,0.84
2001,11012931,5.3,7.5,1,0.96,1
2002,11026358,5.9,7.2,0.8,0.77,0.84
2003,11031728,6.2,8,0.98,0.94,1
2004,11035302,7.6,12,0.68,0.65,0.71
2005,11041642,7.2,11,0.85,0.81,0.89
2006,11052514,6.4,9.1,0.75,0.73,0.78
2007,11066884,6.4,9.1,0.9,0.87,0.94
2008,11083063,6.1,8.7,0.97,0.94,1
2009,11098149,6.1,9,0.82,0.79,0.86
2010,11109999,4.6,5.6,0.66,0.63,0.7
2011,11118556,4.7,6.3,0.7,0.67,0.74
2012,11124639,4.5,6.3,0.69,0.65,0.72
1990,55603,191,245,9.5,0.61,30
1991,55786,191,245,9.5,0.61,30
1992,55854,191,245,9.5,0.61,30
1993,55845,191,245,9.5,0.61,30
1994,55817,191,245,9.5,0.61,30
1995,55809,191,245,9.5,0.61,30
1996,55832,191,245,9.5,0.61,30
1997,55876,191,246,9.5,0.61,30
1998,55948,191,245,9.5,0.61,30
1999,56049,191,245,9.5,0.61,30
2000,56174,191,245,9.5,0.61,30
2001,56337,191,244,9.5,0.61,30
2002,56534,191,244,9.5,0.61,30
2003,56732,191,245,9.5,0.61,30
2004,56881,191,245,9.5,0.59,30
2005,56953,191,247,9.6,0.54,31
2006,56925,191,247,9.6,0.49,32
2007,56817,191,248,9.6,0.5,32
2008,56675,191,247,9.6,0.54,31
2009,56569,128,182,6.5,2.5,12
2010,56546,232,345,14,0.04,66
2011,56626,234,346,14,0.04,66
2012,56787,170,190,6.7,1.8,15
1990,96286,4.6,11,0,0,0
1991,96455,4.6,10,1.8,1.2,2.4
1992,97201,4.6,9.4,0,0,0
1993,98302,4.6,8.9,0,0,0
1994,99403,4.5,8.5,0,0,0
1995,100253,4.5,8.2,0,0,0
1996,100796,4.5,8.1,0,0,0
1997,101125,4.4,8.1,0,0,0
1998,101302,4.4,8.2,0,0,0
1999,101441,4.4,8.4,0,0,0
2000,101620,4.4,8.6,0,0,0
2001,101849,4.3,8.8,0,0,0
2002,102099,4.3,8.9,1.1,1,1.1
2003,102369,4.3,8.9,1.1,1,1.2
2004,102655,4.3,8.7,1,1,1.1
2005,102951,4.2,8.1,1.6,1.6,1.6
2006,103260,4.2,7.7,0.83,0.8,0.86
2007,103586,4.2,6.7,0.83,0.82,0.84
2008,103932,4.2,6.5,0.73,0.73,0.74
2009,104296,4.1,5.7,1.6,1.6,1.6
2010,104677,4.1,5.5,0.76,0.75,0.76
2011,105074,4.1,7.1,0.99,0.95,1
2012,105483,4.1,6.8,0.99,0.95,1
1990,130482,50,67,2.7,0.08,9.5
1991,133553,50,61,2.3,0.35,6
1992,136696,50,56,2,0.54,4.4
1993,139820,58,71,2.7,0.31,7.6
1994,142806,76,115,4.8,0.01,23
1995,145562,68,96,3.9,0.04,16
1996,148060,61,80,3.2,0.13,11
1997,150306,55,69,2.6,0.25,7.7
1998,152275,49,60,2.2,0.36,5.8
1999,153951,44,53,2,0.34,5.1
2000,155328,40,49,1.9,0.22,5.3
2001,156417,46,70,2.9,0,14
2002,157241,37,51,2,0.04,7.9
2003,157823,16,33,1.1,0.4,2.2
2004,158194,36,51,2,0.02,8.3
2005,158401,46,74,2.9,0,14
2006,158429,32,44,1.4,0.44,3
2007,158331,38,49,1.6,0.45,3.5
2008,158310,65,104,4.1,0,20
2009,158621,74,126,5,0,27
2010,159440,73,118,4.6,0.01,23
2011,160858,59,78,2.7,0.33,7.6
2012,162810,48,66,2.2,0.68,4.5
1990,8890329,74,142,9.7,9,10
1991,9098613,74,142,11,9.7,12
1992,9312915,73,142,10,8.8,11
1993,9532550,72,141,8.4,7.3,9.4
1994,9756398,72,140,8.4,7.5,9.3
1995,9983861,71,139,6.3,5.7,7.1
1996,10214623,70,137,6.7,5.9,7.5
1997,10449636,70,134,6.1,5.6,6.7
1998,10691090,69,132,5.5,5.1,5.9
1999,10941913,68,130,5.2,4.7,5.7
2000,11204183,68,129,5.1,4.6,5.7
2001,11478984,67,127,4.8,4.3,5.3
2002,11765738,67,125,4.1,3.6,4.5
2003,12062835,66,122,3.7,3.3,4.1
2004,12367800,65,122,3.4,3,3.9
2005,12678919,65,119,3.3,2.9,3.6
2006,12995374,64,117,3,2.7,3.3
2007,13317931,63,116,2.6,2.4,2.9
2008,13648307,63,116,2.9,2.6,3.1
2009,13988988,62,115,2.5,2.3,2.7
2010,14341576,62,112,2.3,2.1,2.6
2011,14706578,61,111,2.2,2,2.4
2012,15082831,60,110,2.1,1.9,2.2
1990,6020113,248,556,62,23,119
1991,6351760,249,550,61,23,117
1992,6734242,251,543,60,23,114
1993,7136110,251,531,58,22,111
1994,7514053,251,520,56,22,107
1995,7837173,249,505,54,21,103
1996,8094751,246,489,52,20,99
1997,8296478,244,474,50,19,95
1998,8457221,241,458,48,19,91
1999,8600911,237,443,46,18,87
2000,8746128,234,429,44,17,83
2001,8895353,206,362,41,16,76
2002,9045748,225,396,40,16,75
2003,9204581,220,379,38,15,71
2004,9379621,216,366,37,15,68
2005,9576331,211,350,34,14,63
2006,9798963,205,336,32,13,59
2007,10046967,200,327,31,13,56
2008,10314678,196,314,29,12,52
2009,10593248,187,296,27,12,48
2010,10876033,188,299,25,11,46
2011,11161530,183,287,24,10,42
2012,11451273,178,274,23,9.8,42
1990,1017385,158,237,21,5,47
1991,1040717,161,238,20,5.5,45
1992,1064691,164,240,20,4.9,46
1993,1089235,167,243,21,8,40
1994,1114249,170,250,22,9,40
1995,1139667,174,256,22,9.2,41
1996,1165465,177,265,24,9.6,44
1997,1191672,181,275,25,10,48
1998,1218336,184,283,27,10,51
1999,1245530,188,288,28,11,53
2000,1273312,192,290,28,11,54
2001,1301748,195,290,28,10,54
2002,1330849,199,283,27,9.8,52
2003,1360559,203,275,25,8.9,49
2004,1390791,207,268,24,8.1,47
2005,1421515,211,264,23,7.5,46
2006,1452659,216,263,22,7.1,46
2007,1484337,220,268,23,7.2,47
2008,1516920,224,277,24,7.8,49
2009,1550905,229,293,26,8.9,52
2010,1586624,233,300,27,9.4,54
2011,1624228,238,306,28,9.5,57
2012,1663558,242,312,29,9.8,59
1990,725043,89,193,7.5,5,10
1991,723259,89,186,8.6,5.8,12
1992,723008,89,179,7.5,4.5,11
1993,724014,89,171,7.1,4.8,9.7
1994,725839,89,162,7.3,4.5,11
1995,728136,89,153,9.1,6.7,12
1996,730865,89,144,21,13,29
1997,734059,89,134,16,11,23
1998,737526,95,136,16,11,23
1999,741046,100,138,12,6.9,19
2000,744471,104,139,13,8.2,20
2001,747657,108,140,14,9.5,20
2002,750629,111,140,21,15,28
2003,753612,114,139,19,13,26
2004,756939,115,139,26,18,36
2005,760834,115,139,16,14,19
2006,765367,115,140,16,14,19
2007,770407,114,139,15,13,17
2008,775739,113,135,14,12,17
2009,781055,112,133,15,12,17
2010,786126,111,132,15,12,17
2011,790882,110,131,15,12,17
2012,795369,109,131,15,12,17
1990,7110116,247,376,36,6.3,90
1991,7255042,247,380,37,8.1,88
1992,7399862,247,381,38,9.7,85
1993,7544982,247,381,39,11,83
1994,7691001,247,380,39,13,80
1995,7838241,247,378,39,14,77
1996,7986858,247,375,39,14,76
1997,8136372,247,370,38,13,75
1998,8285690,256,383,39,14,77
1999,8433339,264,392,40,14,78
2000,8578234,271,400,40,14,78
2001,8720247,276,405,40,14,78
2002,8859635,279,408,40,14,78
2003,8996229,280,405,39,14,76
2004,9129933,277,399,38,14,74
2005,9260879,272,388,37,13,71
2006,9388642,264,379,35,13,68
2007,9513714,256,368,34,13,65
2008,9638255,246,353,32,12,61
2009,9765153,238,340,31,12,58
2010,9896400,230,326,29,11,55
2011,10032864,222,309,27,11,51
2012,10173775,213,296,25,10,48
1990,4903694,113,178,6.4,2,13
1991,5041781,114,175,6.5,2,13
1992,5180884,114,173,6.5,2.1,13
1993,5319841,114,172,6.4,2.1,13
1994,5457189,114,170,6.4,2,13
1995,5591935,115,169,6.2,1.9,13
1996,5723639,115,169,6,1.7,13
1997,5852719,117,171,5.8,1.5,13
1998,5980152,117,170,5.5,1.3,13
1999,6107385,116,171,5.3,1.1,12
2000,6235561,114,169,5,0.96,12
2001,6365040,110,164,4.7,0.8,12
2002,6495801,102,153,4.5,0.66,12
2003,6628171,91,137,4.2,0.55,12
2004,6762426,81,123,4,0.45,11
2005,6898825,73,112,3.8,0.36,11
2006,7037428,66,101,3.7,0.29,11
2007,7178436,60,94,3.5,0.23,11
2008,7322368,57,88,3.4,0.18,11
2009,7469844,55,86,3.2,0.37,9.2
2010,7621204,54,84,3.1,0.12,11
2011,7776669,54,84,3,0.09,11
2012,7935846,54,82,2.9,0.08,11
1990,10385061,39,53,5.3,5.3,5.3
1991,10370223,42,58,5.3,5.3,5.3
1992,10364661,45,62,5.9,5.8,5.9
1993,10363797,46,65,10,10,10
1994,10361134,47,66,6.9,6.8,6.9
1995,10351994,48,67,5.5,5.5,5.6
1996,10334876,47,66,5.1,5.1,5.2
1997,10311227,46,63,4.7,4.6,4.7
1998,10282937,43,60,4.4,4.4,4.4
1999,10253110,41,56,4.4,4.4,4.4
2000,10224113,37,51,3.5,3.5,3.5
2001,10196130,34,47,3.1,3.1,3.1
2002,10168591,30,41,2.7,2.7,2.7
2003,10142243,27,37,2.3,2.3,2.3
2004,10117872,24,33,2.6,2.6,2.6
2005,10095964,22,29,1.8,1.8,1.8
2006,10077017,20,27,1.2,1.2,1.2
2007,10060786,18,25,1.4,1.4,1.4
2008,10046058,18,25,1.2,1.2,1.2
2009,10031096,17,25,1.2,1.2,1.2
2010,10014633,17,26,1,1,1
2011,9996227,18,29,0.75,0.75,0.75
2012,9976195,18,29,0.73,0.73,0.73
1990,254830,8.1,12,0.4,0.4,0.4
1991,257387,6.7,8.7,0.74,0.74,0.75
1992,259895,7.1,10,1.6,1.6,1.6
1993,262383,4.8,6.6,0.76,0.75,0.76
1994,264893,7.8,13,1.6,1.6,1.7
1995,267454,5.2,6.3,0.71,0.71,0.71
1996,270089,4.7,5.7,0.74,0.73,0.74
1997,272798,4.2,5.5,0.73,0.72,0.73
1998,275568,7.1,12,0.77,0.75,0.8
1999,278376,4.1,5,0.36,0.36,0.36
2000,281214,5.3,8.1,0.36,0.36,0.37
2001,284056,4.9,7.3,0.37,0.36,0.38
2002,286929,3.2,4,0.35,0.35,0.35
2003,289925,2,3.6,0.35,0.35,0.35
2004,293170,4.3,6.6,0.34,0.34,0.34
