year,pop,inc100k,prev100k,mort100k,mort100klo,mort100khi
2005,3014917,77,118,8.5,6.5,11
2006,3002911,77,118,8.7,6.7,11
2007,2989882,76,114,8.7,6.7,11
2008,2977488,73,110,8.6,6.7,11
2009,2968154,69,102,7.3,5.7,9.1
2010,2963496,62,92,7.7,6.1,9.5
2011,2964120,55,79,5.6,4.5,6.9
2012,2969081,52,79,6.3,5.1,7.6
1990,62148,16,20,0.78,0.05,2.5
1991,64623,16,20,0.78,0.05,2.5
1992,68235,16,20,0.78,0.05,2.5
1993,72498,16,20,0.78,0.05,2.5
1994,76700,16,20,0.78,0.05,2.5
1995,80326,16,20,0.78,0.05,2.5
1996,83195,16,20,0.78,0.05,2.5
1997,85447,16,20,0.78,0.05,2.5
1998,87276,16,20,0.78,0.05,2.5
1999,89004,16,20,0.78,0.05,2.5
2000,90858,16,20,0.78,0.05,2.5
2001,92894,16,20,0.78,0.05,2.5
2002,94995,16,20,0.78,0.05,2.5
2003,97015,16,20,0.78,0.05,2.5
2004,98742,16,20,0.78,0.05,2.5
2005,100031,16,20,0.78,0.05,2.5
2006,100830,16,20,0.78,0.05,2.5
2007,101219,16,20,0.78,0.05,2.5
2008,101344,16,20,0.78,0.05,2.5
2009,101418,16,20,0.78,0.05,2.5
2010,101597,16,20,0.78,0.05,2.5
2011,101932,16,20,0.78,0.05,2.5
2012,102384,16,20,0.78,0.05,2.5
1990,17096869,6.8,9.7,0.36,0.35,0.36
1991,17321654,6.3,8.2,0.36,0.36,0.37
1992,17528564,6.6,9,0.32,0.31,0.32
1993,17724669,6.4,8.4,0.33,0.32,0.33
1994,17920592,6.8,9.3,0.21,0.2,0.21
1995,18124234,6.8,9.4,0.15,0.15,0.16
1996,18339037,6.9,9.9,0.21,0.21,0.21
1997,18563442,7.1,10,0.17,0.17,0.17
1998,18794552,5.5,6.6,0.17,0.16,0.17
1999,19027438,6.5,9.1,0.15,0.14,0.15
2000,19259377,6.2,8.7,0.19,0.18,0.19
2001,19487257,5.8,7.8,0.23,0.23,0.23
2002,19714625,5.9,8.1,0.18,0.18,0.18
2003,19953121,5.5,7,0.22,0.22,0.22
2004,20218481,6.1,8.5,0.17,0.17,0.17
2005,20520736,5.9,7.8,0.2,0.2,0.2
2006,20865583,6.4,9.1,0.24,0.23,0.24
2007,21246274,6.1,8.1,0.17,0.17,0.17
2008,21645095,6.5,9,0.23,0.23,0.23
2009,22037143,6.8,9.7,0.2,0.2,0.2
2010,22404488,6.5,8.8,0.23,0.23,0.23
2011,22740536,6.3,8.2,0.18,0.18,0.18
2012,23050471,6.5,8.8,0.19,0.19,0.19
1990,7670001,23,33,1.8,1.8,1.9
1991,7726437,21,30,2.2,2.2,2.3
1992,7797197,20,27,1.7,1.7,1.7
1993,7872361,19,23,1.4,1.4,1.4
1994,7938225,18,23,1.3,1.3,1.3
1995,7985372,21,32,0.93,0.92,0.93
1996,8009345,19,25,0.97,0.97,0.98
1997,8014124,20,29,1,0.99,1
1998,8009051,19,27,1.1,1.1,1.1
1999,8007843,16,20,0.96,0.96,0.97
2000,8020262,17,25,0.86,0.86,0.86
2001,8049440,14,19,0.66,0.65,0.66
2002,8091804,15,21,0.78,0.77,0.78
2003,8142322,13,18,0.54,0.54,0.54
2004,8193157,13,17,0.5,0.5,0.5
2005,8238604,13,19,0.61,0.61,0.61
2006,8277393,12,17,0.55,0.55,0.55
2007,8311463,11,16,0.51,0.5,0.51
2008,8342129,10,14,0.52,0.51,0.52
2009,8371711,9.4,13,0.48,0.48,0.49
2010,8401924,9,12,0.38,0.38,0.39
2011,8432890,9.2,13,0.48,0.47,0.49
2012,8463948,7.9,11,0.42,0.41,0.42
1990,7216503,305,744,11,8.5,15
1991,7332519,384,949,11,8.2,14
1992,7450920,458,1145,14,11,18
1993,7567156,527,1321,15,12,19
1994,7675128,587,1475,17,13,22
1995,7770806,637,1598,23,17,29
1996,7852273,678,1704,23,17,30
1997,7921745,708,1771,22,17,28
1998,7984460,719,1795,21,16,26
1999,8047936,710,1769,24,18,30
2000,8117742,682,1693,22,17,27
2001,8195427,633,1558,20,16,25
2002,8279768,567,1386,18,14,23
2003,8370169,496,1202,17,13,22
2004,8465127,416,993,14,11,18
2005,8563398,335,776,9.6,7.7,12
2006,8665006,271,605,6.4,5.3,7.5
2007,8770122,225,479,4.2,3.7,4.9
2008,8877669,185,370,4.2,3.7,4.9
2009,8986266,154,286,4.2,3.7,4.9
2010,9094718,131,221,4.2,3.7,4.9
2011,9202432,113,172,4.2,3.7,4.9
2012,9308959,95,124,4.2,3.7,4.9
1990,256338,21,22,17,17,17
1991,261102,23,24,13,13,13
1992,266097,27,29,10,10,11
1993,271105,25,24,8.6,8.3,8.8
