year,e_pop_num,e_prev_100k,e_inc_100k,
2001,107170,541,271,
2002,106983,518,263,
2003,106816,498,255,
2004,106575,474,247,
2005,106198,446,240,
2006,105686,416,232,
2007,105097,389,226,
2008,104498,365,219,
2009,103983,340,212,
2010,103619,314,206,
2011,103424,313,200,
2012,103395,270,194,
1990,29438,6.4,3.9,
1991,29626,2.7,0,
1992,29864,6.2,3.9,
1993,30138,6.1,3.8,
1994,30423,6,3.8,
1995,30700,6,3.7,
1996,30971,2.5,0,
1997,31242,2.4,0,
1998,31517,2.2,0,
1999,31795,25,11,
2000,32081,1.7,0,
2001,32366,1.5,0,
2002,32653,1.2,0,
2003,32968,0.72,0.39,
2004,33346,1.3,0.78,
2005,33808,2,1.2,
2006,34369,2.5,1.6,
2007,35013,3.1,2,
2008,35686,3.8,2.3,
2009,36314,4.4,2.7,
2010,36845,5,3.1,
2011,37261,2.4,2.1,
2012,37579,2.7,2.1,
1990,2184159,938,405,
1991,2217937,864,384,
1992,2243525,798,365,
1993,2263224,735,347,
1994,2280519,678,330,
1995,2298063,625,314,
1996,2316598,573,299,
1997,2335723,526,286,
1998,2355618,484,274,
1999,2376197,454,263,
2000,2397473,431,254,
2001,2419669,406,245,
2002,2443231,403,238,
2003,2468595,373,232,
2004,2496248,350,228,
2005,2526502,335,225,
2006,2559496,328,222,
2007,2595068,325,222,
2008,2632834,330,222,
2009,2672223,341,224,
2010,2712738,353,224,
2011,2754209,364,223,
2012,2796484,380,223,
2005,615820,37,29,
2006,616854,42,31,
2007,617800,34,27,
2008,618649,34,24,
2009,619408,29,21,
2010,620078,28,20,
2011,620644,29,20,
2012,621081,25,18,
1990,10734,20,11,
1991,10763,20,11,
1992,10856,5.6,0,
1993,10892,6.4,0,
1994,10717,7.3,0,
1995,10232,8.2,4.1,
1996,9375,9.7,8.3,
1997,8217,16,12,
1998,6936,25,17,
1999,5788,83,40,
2000,4956,11,0,
2001,4505,10,0,
2002,4377,10,0,
2003,4474,50,26,
2004,4645,5.7,0,
2005,4777,42,24,
2006,4846,17,0,
2007,4884,96,47,
2008,4901,58,31,
2009,4918,22,16,
2010,4953,9.9,0,
2011,5000,4.7,0,
2012,5046,,0,
1990,24674974,232,147,
1991,25128064,235,149,
1992,25569662,238,150,
1993,26000345,239,151,
1994,26421309,240,152,
1995,26833093,240,152,
1996,27237150,225,145,
1997,27632321,203,137,
1998,28013585,193,132,
1999,28374203,171,123,
2000,28710123,161,117,
2001,29021156,155,113,
2002,29311443,150,109,
2003,29586937,145,105,
2004,29855820,141,103,
2005,30125445,137,100,
2006,30395097,134,98,
2007,30667086,133,98,
2008,30955151,134,98,
2009,31276564,135,99,
2010,31642360,138,100,
2011,32059424,143,103,
2012,32521143,140,103,
1990,13567959,863,401,
1991,13893546,905,419,
1992,14350459,929,436,
1993,14893218,945,451,
1994,15453464,926,465,
1995,15981571,897,478,
1996,16463426,863,490,
1997,16914628,821,500,
1998,17350739,778,506,
1999,17798102,740,511,
2000,18275618,701,513,
2001,18785719,662,514,
2002,19319894,630,515,
2003,19873460,605,518,
2004,20438827,588,520,
2005,21010376,576,524,
2006,21587317,565,527,
2007,22171404,557,531,
2008,22762525,552,535,
2009,23361025,545,539,
2010,23967265,541,544,
2011,24581367,544,548,
2012,25203395,553,552,
1990,42123003,894,393,
1991,42782387,894,396,
1992,43422423,890,398,
1993,44052710,889,400,
1994,44686091,887,402,
1995,45329862,881,404,
1996,45991828,876,406,
1997,46664455,872,408,
1998,47321204,864,410,
1999,47925630,857,411,
2000,48453000,831,412,
2001,48894203,794,411,
2002,49261313,760,410,
2003,49577152,718,408,
2004,49875169,677,406,
2005,50181020,647,403,
2006,50500070,616,400,
2007,50828959,589,396,
2008,51174018,564,393,
2009,51540490,544,388,
2010,51931231,525,384,
2011,52350763,506,381,
2012,52797319,489,377,
1990,1415447,751,379,
1991,1466152,670,373,
1992,1513689,613,380,
1993,1559480,619,416,
1994,1605828,659,474,
1995,1654214,770,575,
1996,1705309,1011,771,
1997,1757969,1115,916,
1998,1809719,1233,1087,
1999,1857149,1350,1262,
2000,1897953,1429,1407,
2001,1931282,1642,1663,
2002,1958303,1735,1808,
2003,1981237,1690,1826,
2004,2003320,1513,1720,
2005,2027026,1157,1392,
2006,2052931,1037,1231,
2007,2080700,1019,1134,
2008,2110791,1093,1154,
2009,2143498,953,989,
2010,2178967,834,867,
2011,2217618,699,723,
2012,2259393,688,655,
1990,9157,111,88,
1991,9354,96,75,
1992,9544,83,64,
1993,9719,72,55,
1994,9863,62,47,
1995,9970,54,40,
1996,10033,46,35,
1997,10056,39,30,
1998,10054,30,26,
1999,10044,30,23,
2000,10042,72,46,
2001,10053,39,34,
2002,10072,79,57,
2003,10096,65,34,
2004,10112,74,65,
2005,10115,216,125,
2006,10104,247,137,
2007,10083,71,34,
2008,10058,68,57,
2009,10037,62,46,
2010,10025,55,34,
2011,10024,86,57,
2012,10032,91,54,
1990,18111200,364,163,
1991,18569445,348,163,
1992,19050879,335,163,
1993,19551500,320,163,
1994,20065413,307,163,
1995,20587157,295,163,
1996,21115271,283,163,
1997,21647305,270,163,
1998,22175431,262,163,
1999,22690158,254,163,
2000,23184177,248,163,
2001,23655119,245,163,
2002,24102862,240,163,
2003,24525527,237,163,
2004,24921910,235,163,
2005,25292058,235,163,
2006,25634043,234,163,
2007,25950022,234,163,
2008,26249412,234,163,
2009,26544943,235,163,
2010,26846016,238,163,
2011,27156367,236,163,
2012,27474377,241,163,
1990,188234,6.7,5.3,
1991,190108,6.7,5.3,
1992,192220,6.8,5.3,
1993,194054,6.9,5.3,
1994,194909,7,5.3,
1995,194332,7.2,5.3,
1996,192128,4.5,3,
1997,188609,16,8.5,
1998,184455,5.3,4.4,
1999,180623,4.5,2.5,
2000,177838,5,3.2,
2001,176280,7.6,5.9,
2002,175823,17,9.8,
2003,176517,7.2,5.9,
2004,178328,10,7.1,
2005,181195,5.6,4.7,
2006,185182,5.4,3.1,
2007,190229,6.7,5.3,
2008,195970,7.2,5.3,
2009,201921,7.7,5.3,
1990,14890341,15,11,
1991,14993190,13,10,
1992,15101062,15,11,
1993,15210799,17,12,
1994,15318124,21,14,
1995,15420000,17,12,
1996,15514794,18,12,
1997,15603344,15,11,
1998,15688091,12,9.8,
1999,15772758,14,10,
2000,15859863,11,9,
2001,15950214,14,10,
2002,16042368,14,9.7,
2003,16133907,13,9.3,
2004,16221364,14,9.3,
2005,16302242,10,8,
2006,16375813,8.6,7,
2007,16442848,7.7,6.5,
2008,16504193,8.5,6.7,
2009,16561282,12,7.9,
2010,16615243,10,7.2,
2011,16666206,9.2,6.8,
2012,16714018,8.2,6.3,
1990,168537,123,98,
1991,172278,124,93,
1992,176318,129,91,
1993,180569,75,66,
1994,184903,69,60,
1995,189220,59,53,
1996,193493,85,62,
1997,197726,64,51,
1998,201899,68,51,
1999,205997,54,44,
2000,210010,79,51,
2001,213919,37,33,
2002,217720,46,34,
2003,221432,28,20,
2004,225088,46,31,
2005,228714,29,24,
2006,232317,33,25,
2007,235889,29,23,
2008,239429,33,24,
2009,242926,37,26,
2010,246379,31,23,
2011,249786,33,24,
2012,253155,21,17,
1990,3397983,17,12,
1991,3446005,16,11,
1992,3503125,14,10,
1993,3564531,11,8.8,
1994,3623421,16,11,
1995,3675060,18,12,
1996,3717342,15,11,
1997,3752131,12,9.8,
1998,3783470,15,11,
1999,3817367,21,13,
2000,3858032,13,10,
2001,3906817,15,11,
2002,3961937,12,9.5,
2003,4020706,19,12,
2004,4079075,15,10,
2005,4134117,12,9.2,
2006,4185020,13,9.5,
2007,4232734,9,7.4,
2008,4278186,10,7.8,
2009,4322941,11,7.9,
2010,4368136,11,7.9,
2011,4413923,11,7.9,
2012,4459852,10,7.6,
1990,4137788,183,108,
1991,4237154,172,103,
1992,4342319,162,98,
1993,4450371,153,94,
1994,4557125,144,89,
1995,4659458,137,85,
1996,4756631,130,81,
1997,4849272,123,78,
1998,4937320,117,74,
1999,5021079,112,71,
2000,5100920,108,68,
2001,5176685,104,64,
2002,5248577,99,62,
2003,5317878,95,59,
2004,5386299,90,56,
2005,5455219,85,53,
2006,5524927,78,51,
2007,5595533,72,49,
2008,5667983,65,46,
2009,5743329,58,44,
2010,5822209,50,42,
2011,5905146,53,40,
2012,5991733,55,38,
1990,7753907,839,358,
1991,8004058,825,352,
1992,8270248,774,331,
1993,8552812,722,310,
1994,8851763,660,286,
1995,9167078,620,270,
1996,9499605,570,253,
1997,9849621,521,236,
1998,10215806,471,218,
1999,10596258,432,204,
2000,10989815,396,191,
2001,11396434,361,178,
2002,11817297,334,168,
2003,12254040,307,159,
2004,12708897,283,150,
2005,13183798,261,142,
2006,13679705,243,136,
2007,14197289,226,129,
2008,14737895,211,123,
2009,15302948,199,119,
2010,15893746,187,113,
2011,16511462,176,108,
2012,17157042,166,104,
1990,95617350,302,128,
1991,98085373,304,129,
1992,100592242,305,130,
1993,103144749,306,132,
1994,105752796,312,135,
1995,108424827,311,139,
1996,111166210,311,143,
1997,113979481,312,149,
1998,116867371,319,157,
1999,119831888,327,165,
2000,122876727,326,172,
2001,126004992,334,178,
2002,129224641,327,182,
2003,132550146,322,182,
2004,135999250,314,180,
2005,139585891,298,175,
2006,143314909,280,168,
2007,147187353,261,158,
2008,151208080,233,145,
2009,155381020,206,130,
2010,159707780,210,133,
2011,164192925,181,118,
2012,168833776,161,108,
1990,2332,43,0,
1991,2291,69,51,
1992,2259,194,102,
1993,2232,68,52,
1994,2203,202,104,
1995,2167,45,0,
1996,2122,219,108,
1997,2069,35,0,
1998,2010,31,0,
1999,1952,100,59,
2000,1900,47,0,
2001,1852,51,0,
2002,1809,575,254,
2003,1768,42,0,
2004,1728,35,0,
2005,1686,26,0,
2006,1643,15,0,
2007,1600,10,0,
2008,1555,11,0,
2009,1511,14,0,
2010,1468,20,0,
2011,1426,170,81,
2012,1384,46,37,
1990,43972,86,73,
1991,46719,143,107,
1992,49429,255,156,
1993,52120,162,123,
1994,54817,119,97,
1995,57518,123,96,
1996,60248,125,97,
1997,62939,264,170,
1998,65374,268,171,
1999,67271,130,113,
2000,68434,172,126,
2001,68817,109,97,
2002,68499,98,89,
2003,67562,98,77,
2004,66143,123,92,
2005,64372,163,102,
2006,62235,146,94,
2007,59792,125,85,
2008,57345,78,56,
2009,55278,117,79,
2010,53860,91,68,
2011,53230,101,71,
2012,53305,97,69,
1990,4240375,10,7.7,
1991,4262367,11,7.8,
1992,4285504,11,7.7,
1993,4309606,9.6,6.8,
1994,4334434,8.9,6.4,
1995,4359788,8.8,6.2,
1996,4385951,7.7,5.7,
1997,4412958,6.9,5.3,
1998,4440109,9.5,6.3,
1999,4466468,7.1,5.5,
2000,4491572,7.1,5.7,
2001,4514723,10,7,
2002,4536647,7.8,6.2,
2003,4560013,13,8.4,
2004,4588444,9.8,7.1,
2005,4624388,9,6.9,
2006,4668989,8.9,6.8,
2007,4721080,9,6.9,
2008,4777943,9.5,7.1,
2009,4835629,13,8.6,
2010,4891251,9.1,7,
2011,4943754,10,7.5,
2012,4993875,10,7.5,
1990,1810103,44,31,
1991,1885036,39,27,
1992,1965586,29,21,
1993,2043912,21,16,
1994,2109246,21,17,
1995,2154600,18,15,
1996,2175998,22,16,
1997,2177723,22,16,
1998,2171135,21,15,
1999,2172287,16,13,
2000,2192535,26,17,
2001,2239025,22,15,
2002,2308409,20,14,
2003,2389121,15,12,
2004,2464001,19,14,
2005,2522325,14,12,
2006,2554905,23,15,
2007,2569739,21,15,
2008,2593523,23,16,
2009,2663224,20,14,
2010,2802768,16,13,
2011,3024774,17,13,
2012,3314001,18,13,
1990,111090879,589,231,
1991,114229172,590,231,
1992,117291344,588,231,
1993,120336722,587,231,
1994,123450933,585,231,
1995,126689577,584,231,
1996,130083700,582,231,
1997,133597492,578,231,
1998,137139290,574,231,
1999,140580398,574,231,
2000,143832014,573,231,
2001,146857081,566,231,
2002,149693684,551,231,
2003,152419974,531,231,
2004,155151394,508,231,
2005,157971415,483,231,
2006,160905794,456,231,
2007,163928329,435,231,
2008,167008083,417,231,
2009,170093999,402,231,
2010,173149306,389,231,
2011,176166353,381,231,
2012,179160111,376,231,
1990,15089,50,45,
1991,15471,75,52,
1992,15894,96,34,
1993,16345,367,204,
1994,16805,653,325,
1995,17255,197,147,
1996,17695,135,38,
1997,18123,131,110,
1998,18524,237,158,
1999,18878,418,226,
2000,19174,256,156,
2001,19404,147,108,
2002,19575,83,75,
2003,19700,73,61,
2004,19805,54,34,
2005,19907,110,67,
2006,20012,137,80,
2007,20118,106,73,
2008,20228,161,95,
2009,20344,244,125,
2010,20470,221,116,
2011,20606,100,73,
2012,20754,65,24,
1990,2486776,77,47,
1991,2539140,72,47,
1992,2592117,68,47,
1993,2645922,64,47,
1994,2700823,60,47,
1995,2757004,57,47,
1996,2814525,55,47,
1997,2873288,52,47,
1998,2933100,51,47,
1999,2993685,51,47,
2000,3054812,52,47,
2001,3116409,52,47,
2002,3178450,52,47,
2003,3240805,53,47,
2004,3303335,53,47,
2005,3365929,53,47,
2006,3428509,52,47,
2007,3491034,52,47,
2008,3553480,54,47,
2009,3615846,56,48,
2010,3678128,59,48,
2011,3740282,61,48,
2012,3802281,64,48,
1990,4157903,715,308,
1991,4261797,693,310,
1992,4369087,667,310,
1993,4480243,638,310,
1994,4595761,625,314,
1995,4715929,620,322,
1996,4841020,608,326,
1997,4970823,601,334,
1998,5104516,591,338,
1999,5240941,590,344,
2000,5379226,586,349,
2001,5518971,578,352,
2002,5660267,576,354,
2003,5803302,589,354,
2004,5948461,595,355,
2005,6095959,607,358,
2006,6245797,605,357,
2007,6397623,600,354,
2008,6550877,544,333,
2009,6704829,579,351,
2010,6858945,568,348,
2011,7012977,549,346,
2012,7167010,541,348,
1990,4249747,98,66,
1991,4360358,94,63,
1992,4470934,89,60,
1993,4581390,85,57,
1994,4691695,81,54,
1995,4801834,78,52,
1996,4911701,76,51,
1997,5021271,74,50,
1998,5130723,73,49,
1999,5240321,72,49,
2000,5350253,72,49,
2001,5460621,72,49,
2002,5571371,71,49,
2003,5682350,71,49,
2004,5793330,71,49,
2005,5904170,70,49,
2006,6014781,70,49,
2007,6125285,69,48,
2008,6236005,68,48,
2009,6347383,67,47,
2010,6459721,65,46,
2011,6573097,64,45,
2012,6687361,63,45,
1990,21772035,554,317,
1991,22213359,503,301,
1992,22649612,458,285,
1993,23081735,417,270,
1994,23511358,385,255,
1995,23939261,355,242,
1996,24365985,332,229,
1997,24789855,315,217,
1998,25206817,299,205,
1999,25611482,283,195,
2000,26000080,268,184,
2001,26372358,253,174,
2002,26729909,238,165,
2003,27073334,224,156,
2004,27403845,210,148,
2005,27723281,195,140,
2006,28030688,181,133,
2007,28328410,166,126,
2008,28625628,153,119,
2009,28934303,140,113,
2010,29262830,127,106,
2011,29614887,124,101,
2012,29987800,121,95,
1990,61948688,1003,393,
1991,63476449,987,386,
1992,64996507,968,380,
1993,66517085,948,373,
1994,68050807,927,366,
1995,69606539,904,360,
1996,71184718,880,353,
1997,72780928,855,347,
1998,74393147,829,341,
1999,76018006,803,335,
2000,77651848,775,329,
2001,79297756,748,323,
2002,80953652,719,317,
2003,82604681,691,312,
2004,84231329,662,306,
2005,85821214,633,301,
2006,87366573,605,295,
2007,88875548,576,290,
2008,90371287,548,285,
2009,91886400,520,280,
2010,93444322,502,275,
2011,95053437,484,270,
2012,96706764,461,265,
1990,38149944,66,49,
1991,38255349,68,50,
1992,38342766,69,50,
1993,38410794,72,50,
1994,38456866,71,50,
1995,38479899,67,48,
1996,38480234,65,46,
1997,38461279,58,42,
1998,38428791,55,40,
1999,38390217,50,36,
2000,38351437,44,33,
2001,38314744,41,30,
2002,38280547,42,30,
2003,38250426,45,30,
2004,38225455,35,26,
2005,38206337,33,25,
2006,38194163,33,24,
2007,38189136,34,24,
2008,38189735,30,22,
2009,38193591,35,24,
2010,38198754,28,21,
2011,38204598,35,24,
2012,38210924,28,21,
1990,9899450,99,72,
1991,9919947,94,69,
1992,9955317,93,68,
1993,10001046,80,63,
1994,10050045,86,64,
1995,10097055,85,64,
1996,10140627,77,60,
1997,10182158,74,58,
1998,10222540,82,59,
1999,10263532,64,52,
2000,10306192,57,47,
2001,10350660,62,48,
2002,10395630,65,48,
2003,10439031,59,44,
2004,10478122,49,40,
2005,10510967,44,36,
2006,10536701,44,35,
2007,10555902,39,32,
2008,10569881,37,31,
2009,10580673,37,30,
2010,10589792,32,27,
2011,10597629,32,26,
2012,10603804,34,26,
1990,3517984,6.1,5.2,
1991,3551582,11,7.8,
1992,3586848,11,8,
1993,3622652,11,8.1,
1994,3657368,12,8.6,
1995,3689649,11,8.2,
1996,3719446,8,6.9,
1997,3746634,11,7.9,
1998,3769718,7.5,6.1,
1999,3786884,8.1,6.1,
2000,3796981,7,5.3,
2001,3799358,4.3,3.7,
2002,3794728,4.8,3.9,
2003,3785058,4.1,3.5,
2004,3773147,4.2,3.7,
2005,3761143,4,3.5,
2006,3749763,4.5,3.4,
2007,3738829,3.7,3,
2008,3728531,3.6,2.9,
2009,3718812,2.3,1.9,
2010,3709671,3.2,2.5,
2011,3701373,1.9,1.6,
2012,3694237,3,2.2,
1990,476517,59,44,
1991,485129,59,46,
1992,489606,56,46,
1993,491996,53,47,
1994,495106,77,57,
1995,501154,107,70,
1996,512476,77,58,
1997,529491,53,46,
1998,550367,65,53,
1999,572155,65,52,
2000,593693,72,54,
2001,611808,72,53,
2002,629745,67,51,
2003,660238,67,48,
2004,720383,57,43,
2005,821159,64,46,
2006,967602,52,40,
2007,1152459,52,40,
2008,1359114,74,48,
2009,1564082,69,46,
2010,1749713,47,38,
2011,1910902,41,33,
2012,2050514,60,41,
1990,42972254,223,171,
1991,43364294,219,153,
1992,43720846,214,126,
1993,44048595,210,123,
1994,44356925,206,99,
1995,44652994,202,108,
1996,44940974,199,101,
1997,45220543,195,84,
1998,45489131,191,88,
1999,45742103,187,81,
2000,45977210,184,54,
2001,46192932,180,93,
2002,46393993,177,87,
2003,46591762,174,91,
2004,46801310,170,85,
2005,47033082,167,105,
2006,47291491,164,102,
2007,47572585,161,101,
2008,47867970,158,97,
2009,48164969,155,103,
2010,48453931,152,105,
2011,48732640,149,109,
2012,49002683,146,108,
1990,4364114,79,54,
1991,4375448,106,65,
1992,4379153,134,77,
1993,4374636,160,88,
1994,4361360,184,99,
1995,4339081,206,109,
1996,4308050,226,118,
1997,4268774,243,126,
1998,4221726,256,134,
1999,4167552,258,140,
2000,4107184,254,147,
2001,4040579,258,155,
2002,3969040,261,163,
2003,3896494,258,170,
2004,3827963,253,174,
2005,3767077,252,175,
2006,3715541,252,175,
2007,3672638,253,175,
2008,3636510,251,173,
2009,3604078,249,170,
2010,3573024,245,166,
2011,3542928,242,161,
2012,3514381,249,160,
1990,23372101,287,146,
1991,23355868,309,158,
1992,23293930,326,168,
1993,23197350,340,177,
1994,23082816,349,184,
1995,22963512,351,189,
1996,22841943,349,191,
1997,22717415,341,191,
1998,22596183,331,189,
1999,22484940,316,186,
2000,22388354,295,181,
2001,22310092,275,175,
2002,22249564,256,168,
2003,22201592,237,161,
2004,22158163,222,154,
2005,22113264,209,147,
2006,22065409,197,139,
2007,22015937,186,132,
2008,21964962,175,124,
2009,21913311,166,116,
2010,21861476,158,109,
2011,21808931,151,101,
2012,21754741,144,94,
1990,148148752,81,47,
1991,148577986,96,57,
1992,148798341,111,68,
1993,148842678,126,77,
1994,148763601,149,87,
1995,148602147,163,96,
1996,148375246,173,104,
1997,148079919,181,111,
1998,147715550,189,117,
1999,147275875,197,123,
2000,146762881,206,127,
2001,146170247,217,132,
2002,145520813,229,137,
2003,144879644,235,140,
2004,144331352,233,139,
2005,143932966,223,135,
2006,143715023,211,131,
2007,143652377,198,126,
2008,143677033,184,120,
2009,143689741,168,113,
2010,143617913,152,106,
2011,143438152,135,97,
2012,143169653,121,91,
1990,7214696,356,290,
1991,6973664,418,340,
1992,6545100,476,386,
1993,6066268,626,498,
1994,5728464,641,505,
1995,5663838,655,513,
1996,5929575,663,518,
1997,6470628,618,483,
1998,7169658,568,444,
1999,7853015,486,380,
2000,8395577,417,325,
2001,8760003,356,278,
2002,8987523,303,238,
2003,9126167,257,204,
2004,9254379,217,176,
2005,9429457,228,181,
2006,9660946,197,152,
2007,9928143,175,135,
2008,10222961,152,120,
2009,10529668,147,114,
2010,10836732,136,106,
2011,11144315,121,94,
2012,11457801,114,86,
1990,40833,0.56,0,
1991,41009,4.5,2.8,
1992,41360,18,11,
1993,41836,28,16,
1994,42363,12,5.4,
1995,42888,17,13,
1996,43391,13,8,
1997,43885,62,31,
1998,44391,17,13,
1999,44938,9.9,7.7,
2000,45544,7.3,0,
2001,46214,5.9,5,
2002,46934,13,7.4,
2003,47679,3.3,2.4,
2004,48421,7.9,4.8,
2005,49139,3.7,0,
2006,49823,4.6,2.3,
2007,50478,16,9.1,
2008,51110,22,11,
2009,51731,17,8.9,
2010,52352,5.6,4.4,
2011,52971,5.1,2.2,
2012,53584,5.1,4.3,
1990,138180,19,15,
1991,140159,21,17,
1992,141934,23,18,
1993,143592,24,18,
1994,145262,24,19,
1995,147040,24,18,
1996,148962,22,17,
1997,150994,20,16,
1998,153066,18,14,
1999,155073,16,13,
2000,156949,15,12,
2001,158650,14,11,
2002,160217,13,10,
2003,161766,13,10,
2004,163460,12,10,
2005,165407,14,11,
2006,167658,15,11,
2007,170149,13,10,
2008,172734,11,9.5,
2009,175200,8.5,8.4,
2010,177397,8.6,6.9,
2011,179271,6.1,5.1,
2012,180870,4.8,3.3,
1990,107509,66,27,
1991,107811,64,27,
1992,108001,62,27,
1993,108097,60,27,
1994,108129,58,27,
1995,108122,57,27,
1996,108078,56,26,
1997,108001,55,26,
1998,107923,53,26,
1999,107879,52,26,
2000,107897,51,26,
2001,107989,50,26,
2002,108150,50,25,
2003,108353,49,25,
2004,108562,43,25,
2005,108749,45,25,
2006,108908,40,25,
2007,109045,25,25,
2008,109158,32,25,
2009,109249,18,24,
2010,109316,32,24,
2011,109357,29,24,
2012,109373,24,24,
1990,162865,53,36,
1991,164073,51,35,
1992,165568,49,33,
1993,167206,47,32,
1994,168786,45,31,
1995,170158,44,30,
1996,171276,42,28,
1997,172191,41,27,
1998,172979,39,26,
1999,173758,37,25,
2000,174614,34,23,
2001,175567,31,22,
2002,176592,29,21,
2003,177677,26,20,
2004,178794,25,19,
2005,179928,25,18,
2006,181073,26,17,
2007,182240,27,17,
2008,183444,27,17,
2009,184704,28,17,
2010,186029,29,17,
2011,187429,29,17,
2012,188889,30,18,
1990,24135,7,4.8,
1991,24441,7.1,4.7,
1992,24766,14,9.2,
1993,25093,26,14,
1994,25402,15,9.1,
1995,25680,15,9,
1996,25914,4.5,0,
1997,26114,7.1,4.4,
1998,26321,1.9,0,
1999,26594,1.6,0,
2000,26969,8.5,4.3,
2001,27467,1.8,0,
2002,28064,7.9,4.1,
2003,28700,7.5,4,
2004,29290,2,0,
2005,29775,1.8,1.5,
2006,30130,1.7,1.5,
2007,30377,1.8,1.5,
2008,30549,1.9,1.5,
2009,30698,2,1.5,
2010,30861,2,1.5,
2011,31048,2,1.5,
2012,31247,2,1.5,
1990,117395,258,135,
1991,120154,258,133,
1992,122929,256,131,
1993,125628,254,129,
1994,128135,250,126,
1995,130378,244,124,
1996,132323,238,122,
1997,134029,232,120,
1998,135650,220,118,
1999,137396,194,116,
2000,139428,159,114,
2001,141783,134,112,
2002,144447,134,110,
2003,147455,139,108,
2004,150842,138,106,
2005,154615,128,105,
2006,158806,121,103,
2007,163390,129,101,
2008,168253,135,99,
2009,173240,142,98,
2010,178228,149,96,
2011,183177,154,94,
2012,188098,159,93,
1990,16206078,25,17,
1991,16739895,19,15,
1992,17263613,15,13,
1993,17758096,19,15,
1994,18197011,19,16,
1995,18567343,21,17,
1996,18848350,23,18,
1997,19060850,24,19,
1998,19282965,25,19,
1999,19620692,28,21,
2000,20144584,26,20,
2001,20891594,23,18,
2002,21825217,22,18,
2003,22852333,21,17,
2004,23839231,19,16,
2005,24690067,21,16,
2006,25371936,22,17,
2007,25915624,23,18,
2008,26366358,23,18,
2009,26796375,23,17,
2010,27258387,28,19,
2011,27761728,22,16,
2012,28287855,17,15,
1990,7514110,249,138,
1991,7749606,247,139,
1992,7990968,248,141,
1993,8234586,254,145,
1994,8475766,261,149,
1995,8711528,269,153,
1996,8940298,279,158,
1997,9164050,284,160,
1998,9387783,280,158,
1999,9618564,278,158,
2000,9861679,273,155,
2001,10119118,264,151,
2002,10390050,256,149,
2003,10673535,248,146,
2004,10967568,242,144,
2005,11270826,234,142,
2006,11582925,228,140,
2007,11904974,222,138,
2008,12238791,225,140,
2009,12586827,208,133,
2010,12950564,217,137,
2011,13330737,217,136,
2012,13726021,219,137,
1990,10350030,111,68,
1991,10472838,113,67,
1992,10620036,117,67,
1993,10772056,118,67,
1994,10901653,115,65,
1995,10989446,108,61,
1996,11028631,106,60,
1997,11025594,104,59,
1998,10990409,103,57,
1999,10939047,90,52,
2000,10883641,71,46,
2001,10826817,73,48,
2002,10766194,62,45,
2003,10703165,71,50,
2004,10638276,44,40,
2005,9956359,51,37,
2006,9889237,51,37,
2007,9823743,46,34,
2008,9760977,44,32,
2009,9701912,42,30,
2010,9647109,38,28,
2011,9597413,36,26,
2012,9552553,31,23,
1990,69474,50,43,
1991,70307,61,43,
1992,71489,69,42,
1993,72873,75,41,
1994,74239,77,40,
1995,75433,79,40,
1996,76391,76,39,
1997,77173,70,38,
1998,77891,64,38,
1999,78720,60,37,
2000,79774,57,37,
2001,81093,55,36,
2002,82611,56,35,
2003,84218,62,35,
2004,85751,60,34,
2005,87094,61,33,
2006,88210,62,33,
2007,89134,62,32,
2008,89902,63,32,
2009,90577,49,31,
2010,91208,52,31,
2011,91799,42,30,
2012,92339,39,30,
1990,4042678,507,207,
1991,4053257,493,208,
1992,4031730,482,208,
1993,3991434,469,209,
1994,3951544,462,210,
1995,3927105,454,212,
1996,3919708,453,215,
1997,3928313,458,221,
1998,3961869,470,229,
1999,4030443,493,243,
2000,4139757,537,264,
2001,4295667,599,294,
2002,4493047,683,335,
2003,4712763,793,386,
2004,4928175,915,445,
2005,5119895,1027,503,
2006,5280909,1123,554,
2007,5416015,1193,596,
2008,5532139,1237,626,
2009,5641182,1270,646,
2010,5751976,1287,660,
2011,5865491,1294,668,
2012,5978727,1304,674,
1990,3016404,82,61,
1991,3100095,100,68,
1992,3193046,88,64,
1993,3291284,88,64,
1994,3389124,70,57,
1995,3482640,84,62,
1996,3570085,87,63,
1997,3653156,87,62,
1998,3735537,97,65,
1999,3822625,73,54,
2000,3918189,68,51,
2001,4023284,55,44,
2002,4136239,55,42,
2003,4254766,61,43,
2004,4375413,51,37,
2005,4495537,47,35,
2006,4614310,43,33,
2007,4732065,44,33,
2008,4848676,53,37,
2009,4964312,47,35,
2010,5078969,45,35,
2011,5192183,44,36,
2012,5303264,73,50,
2010,42519,11,8.1,
2011,43451,7.4,5.3,
2012,44355,3.3,2.6,
1990,5277709,36,32,
1991,5298036,48,35,
1992,5317386,54,37,
1993,5335164,58,39,
1994,5350537,57,38,
1995,5362950,46,33,
1996,5372351,46,32,
1997,5379101,37,28,
1998,5383590,39,27,
1999,5386384,31,23,
2000,5388010,28,22,
2001,5388448,29,21,
2002,5387913,30,21,
2003,5387441,32,21,
2004,5388338,18,14,
2005,5391489,21,15,
2006,5397396,20,14,
2007,5405718,19,13,
2008,5415434,18,12,
2009,5425044,13,9.7,
2010,5433437,11,8.7,
2011,5440253,11,8,
2012,5445757,9.5,6.8,
1990,2003772,60,41,
1991,2005157,41,33,
1992,2003358,52,37,
1993,1999549,55,37,
1994,1995314,39,30,
1995,1991848,41,30,
